priority,name,lifeDates,artworkCount,slug,status,note
"351","Brenda Lissardy","1907-1992","2","brenda-lissardy","necesita imagen",""
"352","Bruno Widmann","1930-2017","2","bruno-widmann","necesita imagen",""
"353","Carlos Arboleda","1929-2021","2","carlos-arboleda","necesita imagen",""
"354","Carlos Corsetti","1823-1903","2","carlos-corsetti","necesita imagen",""
"355","Carlos María Herrera (hijo)","1904-1968","2","carlos-maria-herrera-hijo","necesita imagen",""
"356","Carlos Páez Vilaró","1923-2014","2","carlos-paez-vilaro","necesita imagen",""
"357","Carlos Seveso","1954-","2","carlos-seveso","necesita imagen",""
"358","Carlos Washington Aliseris Genta","1898-1974","2","carlos-washington-aliseris-genta","necesita imagen",""
"359","Carmelo Arden Quin","1913-2010","2","carmelo-arden-quin","necesita imagen",""
"360","Cayetano Gallino","1804-1884","2","cayetano-gallino","necesita imagen",""
"361","Cecilia Brugnini","1943-","2","cecilia-brugnini","necesita imagen",""
"362","Celia Giacosa","","2","celia-giacosa","necesita imagen",""
"363","Cesáreo Bernaldo de Quirós","1879-1968","2","cesareo-bernaldo-de-quiros","necesita imagen",""
"364","Charles Martin Sauvaigo","1881-1970","2","charles-martin-sauvaigo","necesita imagen",""
"365","Clarina Vicens","1938-","2","clarina-vicens","necesita imagen",""
"366","Cristy Gava","1916-1985","2","cristy-gava","necesita imagen",""
"367","Daniel Amaral Oyarvide","1951-","2","daniel-amaral-oyarvide","necesita imagen",""
"368","Dante Ferrer Saravia","1920-","2","dante-ferrer-saravia","necesita imagen",""
"369","Dermont","","2","dermont","necesita imagen",""
"370","Diego Focaccio","1967-","2","diego-focaccio","necesita imagen",""
"371","Domingo Giaudrone","1889-1968","2","domingo-giaudrone","necesita imagen",""
"372","Domingo Mora","1840-1911","2","domingo-mora","necesita imagen",""
"373","Dunoyer De Segonzag","1884-1974","2","dunoyer-de-segonzag","necesita imagen",""
"374","Edouard Pignon","1905-1993","2","edouard-pignon","necesita imagen",""
"375","Eduardo Cardozo","1965-","2","eduardo-cardozo","necesita imagen",""
"376","Eduardo Fornasari Baum","1946-","2","eduardo-fornasari-baum","necesita imagen",""
"377","Eduardo Lapaitis Vaikunaite","1931-","2","eduardo-lapaitis-vaikunaite","necesita imagen",""
"378","Eduardo Vallarino","1907-1971","2","eduardo-vallarino","necesita imagen",""
"379","Eliseo Meifren","1859-1940","2","eliseo-meifren","necesita imagen",""
"380","Enrique Fernández Broglia","1942-2013","2","enrique-fernandez-broglia","necesita imagen",""
"381","Ernesto Vila","1936-2025","2","ernesto-vila","necesita imagen",""
"382","Eurídice Méndez de Cruz","1912-","2","euridice-mendez-de-cruz","necesita imagen",""
"383","Ezequiel Duarte","1800-","2","ezequiel-duarte","necesita imagen",""
"384","Federico Emilio Jeannin","1859-1925","2","federico-emilio-jeannin","necesita imagen",""
"385","Félix Braquemond","1833-1914","2","felix-braquemond","necesita imagen",""
"386","Fernand Maillaud","1862-1948","2","fernand-maillaud","necesita imagen",""
"387","Fernando Cabezudo","1927-2014","2","fernando-cabezudo","necesita imagen",""
"388","Fernando Laroche","1870-1938","2","fernando-laroche","necesita imagen",""
"389","Fernando Olivier","1873-","2","fernando-olivier","necesita imagen",""
"390","Filippo Palizzi","1818-1889","2","filippo-palizzi","necesita imagen",""
"391","Francisco Castro Leñero","1954-","2","francisco-castro-lenero","necesita imagen",""
"392","Giuseppe Quaranta","1851-1921","2","giuseppe-quaranta","necesita imagen",""
"393","Guillermo León Fernández","1928-2007","2","guillermo-leon-fernandez","necesita imagen",""
"394","Guiomar S. Fagúndes","1869-","2","guiomar-s-fagundes","necesita imagen",""
"395","Gustavo Fernández","1958-","2","gustavo-fernandez","necesita imagen",""
"396","Haroldo González Nicolini","1941-","2","haroldo-gonzalez-nicolini","necesita imagen",""
"397","Henry Katser","1942-","2","henry-katser","necesita imagen",""
"398","Hervé Fischer","1941-","2","herve-fischer","necesita imagen",""
"399","Horacio Martínez Ferrer","","2","horacio-martinez-ferrer","necesita imagen",""
"400","Hugo Luis Ricobaldi","1937-","2","hugo-luis-ricobaldi","necesita imagen",""
"401","Ignacio Zuloaga","1870-1945","2","ignacio-zuloaga","necesita imagen",""
"402","Ivan Mestrovi&#263;","1883-1962","2","ivan-mestrovi-263","necesita imagen",""
"403","J. Mauron","","2","j-mauron","necesita imagen",""
"404","Jaime Washington Alaluf","1921-","2","jaime-washington-alaluf","necesita imagen",""
"405","Jaques Villon","1875-","2","jaques-villon","necesita imagen",""
"406","Javier Gil","1961-","2","javier-gil","necesita imagen",""
"407","Joaquin Sorolla y Bastida","1863-1923","2","joaquin-sorolla-y-bastida","necesita imagen",""
"408","Jonio Montiel","1924-1986","2","jonio-montiel","necesita imagen",""
"409","Jorge Brito (o Britos)","1925-1996","2","jorge-brito-o-britos","necesita imagen",""
"410","Jorge Carrozzino","1938-1986","2","jorge-carrozzino","necesita imagen",""
"411","Jorge Casterán","1944-2016","2","jorge-casteran","necesita imagen",""
"412","José Alassio","1875-1916","2","jose-alassio","necesita imagen",""
"413","José Bernard","1866-1931","2","jose-bernard","necesita imagen",""
"414","José Gurvich","1927-1974","2","jose-gurvich","necesita imagen",""
"415","José Miguel Pallejá","1861-1887","2","jose-miguel-palleja","necesita imagen",""
"416","José Pedro Montero Bustamante","1875-1927","2","jose-pedro-montero-bustamante","necesita imagen",""
"417","Juan C. Montero Zorrilla","1912-1994","2","juan-c-montero-zorrilla","necesita imagen",""
"418","Juan Carlos Demarco","1921-1999","2","juan-carlos-demarco","necesita imagen",""
"419","Juan Carlos Viera","1913-","2","juan-carlos-viera","necesita imagen",""
"420","Juan Eduardo Markarián","1930-","2","juan-eduardo-markarian","necesita imagen",""
"421","Juan Manuel Rodríguez","1980-","2","juan-manuel-rodriguez","necesita imagen",""
"422","Juan Sanuy","1850-1908","2","juan-sanuy","necesita imagen",""
"423","Jules Desbois","1851-1935","2","jules-desbois","necesita imagen",""
"424","Julio Carlos Rozier","","2","julio-carlos-rozier","necesita imagen",""
"425","Julio José González Díaz","1926-","2","julio-jose-gonzalez-diaz","necesita imagen",""
"426","Julio Testoni","1948-","2","julio-testoni","necesita imagen",""
"427","Kouei, Hia","","2","kouei-hia","necesita imagen",""
"428","L. Richard","","2","l-richard","necesita imagen",""
"429","León Gischia","1903-1991","2","leon-gischia","necesita imagen",""
"430","Léonie Matthis","1883-1952","2","leonie-matthis","necesita imagen",""
"431","Linda Kohen","1924-2026","2","linda-kohen","necesita imagen",""
"432","Louis Coignard","1810-1883","2","louis-coignard","necesita imagen",""
"433","Luis Falcini","1889-1973","2","luis-falcini","necesita imagen",""
"434","Luis Gianmarchi","1904-1976","2","luis-gianmarchi","necesita imagen",""
"435","Luis Goyanes","1907-","2","luis-goyanes","necesita imagen",""
"436","Luis Vasalli","","2","luis-vasalli","necesita imagen",""
"437","Manuel Barthold","1874-1947","2","manuel-barthold","necesita imagen",""
"438","Manuel Carbajal Victorica","1896-1951","2","manuel-carbajal-victorica","necesita imagen",""
"439","Manuel Colmeiro","1901-1999","2","manuel-colmeiro","necesita imagen",""
"440","Manuel Domínguez Nieto","1919-2002","2","manuel-dominguez-nieto","necesita imagen",""
"441","Manuel López Cortés","1918-2002","2","manuel-lopez-cortes","necesita imagen",""
"442","Marandon De Montyel","1784-1854","2","marandon-de-montyel","necesita imagen",""
"443","María Luisa Gil Janeiro","1917-","2","maria-luisa-gil-janeiro","necesita imagen",""
"444","María Mercedes De Luis","1922-2012","2","maria-mercedes-de-luis","necesita imagen",""
"445","María Olga Piria de Jaureguy","1927-2015","2","maria-olga-piria-de-jaureguy","necesita imagen",""
"446","Marie Laurencin","1883-1956","2","marie-laurencin","necesita imagen",""
"447","Mario Eduardo De Cola","1927-","2","mario-eduardo-de-cola","necesita imagen",""
"448","Marta Carafi","1904-1994","2","marta-carafi","necesita imagen",""
"449","Maruyama Okyo","1733-1795","2","maruyama-okyo","necesita imagen",""
"450","Miguel Ángel del Pino y Sardá","1890-1973","2","miguel-angel-del-pino-y-sarda","necesita imagen",""
"451","Miguel Bresciano","1937-1979","2","miguel-bresciano","necesita imagen",""
"452","Narcisse-Virgile Díaz de la Peña","1808-1876","2","narcisse-virgile-diaz-de-la-pena","necesita imagen",""
"453","Nelson Romero","1951-2012","2","nelson-romero","necesita imagen",""
"454","Nicolás Cuparo","1906-1976","2","nicolas-cuparo","necesita imagen",""
"455","Octavio Pinto","1890-1941","2","octavio-pinto","necesita imagen",""
"456","Octavio Podestá","1929-","2","octavio-podesta","necesita imagen",""
"457","Odilón Redón","1840-1916","2","odilon-redon","necesita imagen",""
"458","Omar W. Bulla Firpo","1919-","2","omar-w-bulla-firpo","necesita imagen",""
"459","Oscar Ferrando","1943-","2","oscar-ferrando","necesita imagen",""
"460","Oswaldo Goeldi","1895-1961","2","oswaldo-goeldi","necesita imagen",""
"461","Pablo Mañé Garzón","1921-2004","2","pablo-mane-garzon","necesita imagen",""
"462","Paul Gavarni","1804-1866","2","paul-gavarni","necesita imagen",""
"463","Pedro Miguel Astapenco","1924-2005","2","pedro-miguel-astapenco","necesita imagen",""
"464","Pierre Alechinsky","1927-","2","pierre-alechinsky","necesita imagen",""
"465","Pierre Guastalla","1891-1968","2","pierre-guastalla","necesita imagen",""
"466","Rafael Lorente","1940-","2","rafael-lorente","necesita imagen",""
"467","Rafael Ruano","1925-2016","2","rafael-ruano","necesita imagen",""
"468","Ramón Bauzá","1894-1969","2","ramon-bauza","necesita imagen",""
"469","Robert Delaunay","1885-1941","2","robert-delaunay","necesita imagen",""
"470","Roberto Orlando","1915-","2","roberto-orlando","necesita imagen",""
"471","Rolf Cavael","1898-1979","2","rolf-cavael","necesita imagen",""
"472","Rómulo Roberto Aguerre","1919-2002","2","romulo-roberto-aguerre","necesita imagen",""
"473","Salvador Carbonell y Migal","1881-1956","2","salvador-carbonell-y-migal","necesita imagen",""
"474","Santiago Rico","1800-","2","santiago-rico","necesita imagen",""
"475","Saralegui","","2","saralegui","necesita imagen",""
"476","Stelio Belloni","1920-1989","2","stelio-belloni","necesita imagen",""
"477","Tranquillo Marangoni","1912-1992","2","tranquillo-marangoni","necesita imagen",""
"478","Ulpiano Checa y Sánz","1860-1916","2","ulpiano-checa-y-sanz","necesita imagen",""
"479","Vadine Androusov","1895-1975","2","vadine-androusov","necesita imagen",""
"480","Víctor Delhez","1902-1985","2","victor-delhez","necesita imagen",""
"481","Virginia Patrone","1950-","2","virginia-patrone","necesita imagen",""
"482","Yves Alix","1890-1969","2","yves-alix","necesita imagen",""
"483","'Enzo' Doméstico Kabregú","1906-1972","1","enzo-domestico-kabregu","necesita imagen",""
"484","A. Moline","1800-","1","a-moline","necesita imagen",""
"485","A. Patimont","","1","a-patimont","necesita imagen",""
"486","A. Schuria","","1","a-schuria","necesita imagen",""
"487","Abel Rezzano","1936-2020","1","abel-rezzano","necesita imagen",""
"488","Adela Neffa","1922-2019","1","adela-neffa","necesita imagen",""
"489","Adolfo Mexiac","1927-2019","1","adolfo-mexiac","necesita imagen",""
"490","Adrien-Jean Le Mayeur","1880-1958","1","adrien-jean-le-mayeur","necesita imagen",""
"491","Agustín Ezcurra","1880-1958","1","agustin-ezcurra","necesita imagen",""
"492","Agustín Sabella","1977-","1","agustin-sabella","necesita imagen",""
"493","Aime Stevens","1879-1951","1","aime-stevens","necesita imagen",""
"494","Alba Ardao","1910-","1","alba-ardao","necesita imagen",""
"495","Albert Claeys","1889-1967","1","albert-claeys","necesita imagen",""
"496","Albert Gleizes","1881-1953","1","albert-gleizes","necesita imagen",""
"497","Albert Loriol","1882-","1","albert-loriol","necesita imagen",""
"498","Alberto Delmonte","1933-2005","1","alberto-delmonte","necesita imagen",""
"499","Alberto Lagos","1885-1960","1","alberto-lagos","necesita imagen",""
"500","Alberto Lastreto","1951-","1","alberto-lastreto","necesita imagen",""
"501","Alberto Magnelli","1888-1971","1","alberto-magnelli","necesita imagen",""
"502","Alberto Plá Rubio","1867-1937","1","alberto-pla-rubio","necesita imagen",""
"503","Alberto Schwartz","1800-","1","alberto-schwartz","necesita imagen",""
"504","Albrecht Dürer","-1528","1","albrecht-durer","necesita imagen",""
"505","Alejandro Casares Mora","1942-2020","1","alejandro-casares-mora","necesita imagen",""
"506","Alejandro Márquez","1882-1959","1","alejandro-marquez","necesita imagen",""
"507","Alejandro Metalo Gibert","1902-1966","1","alejandro-metalo-gibert","necesita imagen",""
"508","Alejandro Pérez Cruz","1966-","1","alejandro-perez-cruz","necesita imagen",""
"509","Alfred Broquelet","1861-1957","1","alfred-broquelet","necesita imagen",""
"510","Alfredo Benítez","1888-1938","1","alfredo-benitez","necesita imagen",""
"511","Alfredo Francisco Sollazzo","1895-1963","1","alfredo-francisco-sollazzo","necesita imagen",""
"512","Alfredo Peirano","","1","alfredo-peirano","necesita imagen",""
"513","Alfredo Sisley","1839-1899","1","alfredo-sisley","necesita imagen",""
"514","Álvaro Diego Gómez Campuzano","1956-","1","alvaro-diego-gomez-campuzano","necesita imagen",""
"515","Amado Chihan","1927-2014","1","amado-chihan","necesita imagen",""
"516","Américo Aragunde","1877-1953","1","americo-aragunde","necesita imagen",""
"517","Ana Ma. Fabini","","1","ana-ma-fabini","necesita imagen",""
"518","Ana Ma. Prendergast","1897-","1","ana-ma-prendergast","necesita imagen",""
"519","Ana Méndez","","1","ana-mendez","necesita imagen",""
"520","Ana Santos","1978-","1","ana-santos","necesita imagen",""
"521","Ana Tiscornia","1951-","1","ana-tiscornia","necesita imagen",""
"522","André Derain","1880-1954","1","andre-derain","necesita imagen",""
"523","Andrés Fougeron","1913-1998","1","andres-fougeron","necesita imagen",""
"524","Andrés Gloria Vázquez","1971-","1","andres-gloria-vazquez","necesita imagen",""
"525","Ángel Cortellini Sánchez","1858-1912","1","angel-cortellini-sanchez","necesita imagen",""
"526","Ángel Damián","1922-1974","1","angel-damian","necesita imagen",""
"527","Ángel Salvador","1910-","1","angel-salvador","necesita imagen",""
"528","Antón Crestar","1896-1983","1","anton-crestar","necesita imagen",""
"529","Antoni Starczewski","1924-2000","1","antoni-starczewski","necesita imagen",""
"530","Antonio Cabral Bejarano","1788-1861","1","antonio-cabral-bejarano","necesita imagen",""
"531","Antonio Le Nain","1599-1648","1","antonio-le-nain","necesita imagen",""
"532","Antonio Pérez Barradas","","1","antonio-perez-barradas","necesita imagen",""
"533","Antonio Rosello Pons","","1","antonio-rosello-pons","necesita imagen",""
"534","Arturo Daneri","1889-","1","arturo-daneri","necesita imagen",""
"535","Arturo García Bustos","1926-","1","arturo-garcia-bustos","necesita imagen",""
"536","Auguste Herbin","1882-1960","1","auguste-herbin","necesita imagen",""
"537","Ayax Barnes","1926-1993","1","ayax-barnes","necesita imagen",""
"538","Azteca de Gyves","1963-","1","azteca-de-gyves","necesita imagen",""
"539","B. Raynaud","","1","b-raynaud","necesita imagen",""
"540","Baldomero Gilli Roig","1873-1926","1","baldomero-gilli-roig","necesita imagen",""
"541","Beatriz Magliati","1932-","1","beatriz-magliati","necesita imagen",""
"542","Benzo Manlio Menotti","","1","benzo-manlio-menotti","necesita imagen",""
"543","Bernardino (Poccetti) Barbatelli","1548-1612","1","bernardino-poccetti-barbatelli","necesita imagen",""
"544","Betsabeé Romero","1963-","1","betsabee-romero","necesita imagen",""
"545","Bolívar Gaudín","1932-2017","1","bolivar-gaudin","necesita imagen",""
"546","Boris Viskin","1960-","1","boris-viskin","necesita imagen",""
"547","Brian Mackern","1962-","1","brian-mackern","necesita imagen",""
"548","C. Demichelli","","1","c-demichelli","necesita imagen",""
"549","C.J. Kranet","","1","c-j-kranet","necesita imagen",""
"550","C.T. Debloise","1851-","1","c-t-debloise","necesita imagen",""
"551","Camille Corot","1796-1875","1","camille-corot","necesita imagen",""
"552","Carlos Aramburu","1951-","1","carlos-aramburu","necesita imagen",""
"553","Carlos Barea","1954-","1","carlos-barea","necesita imagen",""
"554","Carlos Caffera Baru","1931-2010","1","carlos-caffera-baru","necesita imagen",""
"555","Carlos Carvalho","1934-1999","1","carlos-carvalho","necesita imagen",""
"556","Carlos Elena","1895-","1","carlos-elena","necesita imagen",""
"557","Carlos Emilio Dupont","","1","carlos-emilio-dupont","necesita imagen",""
"558","Carlos M. Uriarte","1800-","1","carlos-m-uriarte","necesita imagen",""
"559","Carlos María Martínez","1922-2009","1","carlos-maria-martinez","necesita imagen",""
"560","Carlos Millot","1933-","1","carlos-millot","necesita imagen",""
"561","Carlos Musso","1954-","1","carlos-musso","necesita imagen",""
"562","Carlos Pablo Pieri","1926-1993","1","carlos-pablo-pieri","necesita imagen",""
"563","Carlos Palleiro","","1","carlos-palleiro","necesita imagen",""
"564","Carlos Puig Vazquez","","1","carlos-puig-vazquez","necesita imagen",""
"565","Carlos Rodríguez","","1","carlos-rodriguez","necesita imagen",""
"566","Carlos Sgarbi","1953-","1","carlos-sgarbi","necesita imagen",""
"567","Casimiro Motta","1922-2001","1","casimiro-motta","necesita imagen",""
"568","Ce Vignolo","1971-","1","ce-vignolo","necesita imagen",""
"569","César Baldaccini","1921-1998","1","cesar-baldaccini","necesita imagen",""
"570","Charles Delporte","1928-2012","1","charles-delporte","necesita imagen",""
"571","Charles Walch","1896-1948","1","charles-walch","necesita imagen",""
"572","Cildo Meireles","1948-","1","cildo-meireles","necesita imagen",""
"573","Cisco Jiménez","1969-","1","cisco-jimenez","necesita imagen",""
"574","Clara Heteny de Francini","1919-1974","1","clara-heteny-de-francini","necesita imagen",""
"575","Clara Scremini","1939-","1","clara-scremini","necesita imagen",""
"576","Claude Michelle Bagnalasta","1928-2019","1","claude-michelle-bagnalasta","necesita imagen",""
"577","Crisanto Del Mónaco","1870-1963","1","crisanto-del-monaco","necesita imagen",""
"578","Crispín Vayadares","","1","crispin-vayadares","necesita imagen",""
"579","D. Veracierto","","1","d-veracierto","necesita imagen",""
"580","Daniel Escardó","1957-2018","1","daniel-escardo","necesita imagen",""
"581","Daniel González","1959-","1","daniel-gonzalez","necesita imagen",""
"582","Daniel Ranzoni","1843-1889","1","daniel-ranzoni","necesita imagen",""
"583","David de la Mano","","1","david-de-la-mano","necesita imagen",""
"584","De Lafage G.L.","1830-1858","1","de-lafage-g-l","necesita imagen",""
"585","Delia Demicheri","","1","delia-demicheri","necesita imagen",""
"586","Demián Flores","1971-","1","demian-flores","necesita imagen",""
"587","Diego Donner","1959-","1","diego-donner","necesita imagen",""
"588","Diego Masi","1965-","1","diego-masi","necesita imagen",""
"589","Diego Velazco","1967-","1","diego-velazco","necesita imagen",""
"590","Diógenes Paredes","1910-1968","1","diogenes-paredes","necesita imagen",""
"591","Doménico Failutti","1872-1923","1","domenico-failutti","necesita imagen",""
"592","Doménico Serio Calabrone","1928-2000","1","domenico-serio-calabrone","necesita imagen",""
"593","Domingo Bazzurro","1886-1962","1","domingo-bazzurro","necesita imagen",""
"594","Domingo Ferreira","1940-","1","domingo-ferreira","necesita imagen",""
"595","Duilio Lorenzo Saredo","1906-","1","duilio-lorenzo-saredo","necesita imagen",""
"596","E.J. Jouveneau","","1","e-j-jouveneau","necesita imagen",""
"597","Eddie Martínez","1963-","1","eddie-martinez","necesita imagen",""
"598","Edouard Manet","1832-1883","1","edouard-manet","necesita imagen",""
"599","Édouard Vuillard","1868-1940","1","edouard-vuillard","necesita imagen",""
"600","Eduard Wiiralt","1898-1954","1","eduard-wiiralt","necesita imagen",""
"601","Eduardo Acosta Bentos","1951-","1","eduardo-acosta-bentos","necesita imagen",""
"602","Eduardo Cardozo - Lucas Cilintano - Agustín Banchero (Grupo)","","1","eduardo-cardozo-lucas-cilintano-agustin-banchero-grupo","necesita imagen","grupo o autoria colectiva"
"603","Eduardo R. Petenello","1911-","1","eduardo-r-petenello","necesita imagen",""
"604","Eduardo Rosales","1836-1873","1","eduardo-rosales","necesita imagen",""
"605","Eduardo Sarlós","1938-1998","1","eduardo-sarlos","necesita imagen",""
"606","Eduardo Sixto Acevedo","1933-","1","eduardo-sixto-acevedo","necesita imagen",""
"607","Eduardo Víctor Haedo","1901-1970","1","eduardo-victor-haedo","necesita imagen",""
"608","Efraín Morales Sánchez","1962-","1","efrain-morales-sanchez","necesita imagen",""
"609","Elena Molinari","1956-","1","elena-molinari","necesita imagen",""
"610","Elena Pasquali Marchesi","1908-2003","1","elena-pasquali-marchesi","necesita imagen",""
"611","Elena Sánchez Castellanos","1930-","1","elena-sanchez-castellanos","necesita imagen",""
"612","Elia Laporte","","1","elia-laporte","necesita imagen",""
"613","Elmer W. Schofield","1866-1944","1","elmer-w-schofield","necesita imagen",""
"614","Eloisa Ibarra","1968-","1","eloisa-ibarra","necesita imagen",""
"615","Eloy Tarciso","1955-","1","eloy-tarciso","necesita imagen",""
"616","Ema Real de Azúa","1914-","1","ema-real-de-azua","necesita imagen",""
"617","Ema Vanoni","1895-1970","1","ema-vanoni","necesita imagen",""
"618","Emil Schumacher","1912-1999","1","emil-schumacher","necesita imagen",""
"619","Emile-Louis Derbier","1800-1900","1","emile-louis-derbier","necesita imagen",""
"620","Emiliano Di Cavalcanti","1897-1976","1","emiliano-di-cavalcanti","necesita imagen",""
"621","Emiliano Gironella","1972-","1","emiliano-gironella","necesita imagen",""
"622","Emiliano López Javier","1959-","1","emiliano-lopez-javier","necesita imagen",""
"623","Emilio Petorutti","1892-1971","1","emilio-petorutti","necesita imagen",""
"624","Emma de Badetto","1906-1993","1","emma-de-badetto","necesita imagen",""
"625","Enrico Astorri","1859-1921","1","enrico-astorri","necesita imagen",""
"626","Enrique Flores","1963-","1","enrique-flores","necesita imagen",""
"627","Enrique Leon Voisin","","1","enrique-leon-voisin","necesita imagen",""
"628","Enrique Pérez","1950-","1","enrique-perez","necesita imagen",""
"629","Enrique Serra","1859-1918","1","enrique-serra","necesita imagen",""
"630","Ernesto Alexandro","1906-1948","1","ernesto-alexandro","necesita imagen",""
"631","Esther Raszap de Sandman","1928-2017","1","esther-raszap-de-sandman","necesita imagen",""
"632","Eugène Arbeit","1825-1900","1","eugene-arbeit","necesita imagen",""
"633","Eugène de Kermadec","1899-1976","1","eugene-de-kermadec","necesita imagen",""
"634","Eva Schwartz","1904-","1","eva-schwartz","necesita imagen",""
"635","Eve Renee Nele","1932-","1","eve-renee-nele","necesita imagen",""
"636","Federico Barocci","1535-1612","1","federico-barocci","necesita imagen",""
"637","Federico J. Waugh","","1","federico-j-waugh","necesita imagen",""
"638","Federico Soneira Villademoros","1830-1900","1","federico-soneira-villademoros","necesita imagen",""
"639","Felipe Menini","1873-1940","1","felipe-menini","necesita imagen",""
"640","Felipe Secco","1964-","1","felipe-secco","necesita imagen",""
"641","Félix Morelli","1857-1922","1","felix-morelli","necesita imagen",""
"642","Fernand Debonnaires","1907-1997","1","fernand-debonnaires","necesita imagen",""
"643","Fernando Aceves Humana","1969-","1","fernando-aceves-humana","necesita imagen",""
"644","Fernando Andriacci","1972-","1","fernando-andriacci","necesita imagen",""
"645","Fernando Barrios","1968-","1","fernando-barrios","necesita imagen",""
"646","Fernando de Szyszlo","1925-2017","1","fernando-de-szyszlo","necesita imagen",""
"647","Fidel Sclavo","1960-","1","fidel-sclavo","necesita imagen",""
"648","Flor Minor","1961-","1","flor-minor","necesita imagen",""
"649","Fox Trinaz","1899-1964","1","fox-trinaz","necesita imagen",""
"650","Francesco Mancini","1830-1905","1","francesco-mancini","necesita imagen",""
"651","Francisco Gómez Arballo","1938-","1","francisco-gomez-arballo","necesita imagen",""
"652","Francisco Villar","","1","francisco-villar","necesita imagen",""
"653","Franco Aceves Humana","1965-","1","franco-aceves-humana","necesita imagen",""
"654","Francoise Barón de Gerard","1770-1837","1","francoise-baron-de-gerard","necesita imagen",""
"655","Franklin Undini","","1","franklin-undini","necesita imagen",""
"656","Frantisek Kupka","1871-1957","1","frantisek-kupka","necesita imagen",""
"657","Freddy Sorribas","1938-2017","1","freddy-sorribas","necesita imagen",""
"658","G. Moro","","1","g-moro","necesita imagen",""
"659","G.A.C. Segno","","1","g-a-c-segno","necesita imagen",""
"660","Gabriel Biessy","1854-1935","1","gabriel-biessy","necesita imagen",""
"661","Gabriel Galli","1958-","1","gabriel-galli","necesita imagen",""
"662","Gabriel Lema","1972-","1","gabriel-lema","necesita imagen",""
"663","Gabriel Macotela","1954-","1","gabriel-macotela","necesita imagen",""
"664","Gabriel Marechal","1700-","1","gabriel-marechal","necesita imagen",""
"665","Gabriela Dantes","1914-","1","gabriela-dantes","necesita imagen",""
"666","Gastón Garreaud","1934-2005","1","gaston-garreaud","necesita imagen",""
"667","Gastón Olalde","1925-2003","1","gaston-olalde","necesita imagen",""
"668","Genard Lahuerta","1905-1985","1","genard-lahuerta","necesita imagen",""
"669","George Albert Thompson","1868-1938","1","george-albert-thompson","necesita imagen",""
"670","George Oberteuffer","1878-1940","1","george-oberteuffer","necesita imagen",""
"671","Georges Braque","1882-1963","1","georges-braque","necesita imagen",""
"672","Georges Rouault","1871-1958","1","georges-rouault","necesita imagen",""
"673","Georges Zezzos","1883-1959","1","georges-zezzos","necesita imagen",""
"674","Georgette Iserbyt","1915-2001","1","georgette-iserbyt","necesita imagen",""
"675","Gerard Cochet","1888-1969","1","gerard-cochet","necesita imagen",""
"676","Giacomo Balla","1871-1958","1","giacomo-balla","necesita imagen",""
"677","Giocondo Faggioni","","1","giocondo-faggioni","necesita imagen",""
"678","Giovanni Fattori","1828-1908","1","giovanni-fattori","necesita imagen",""
"679","Giovanni Muzzioli","1854-1894","1","giovanni-muzzioli","necesita imagen",""
"680","Giovanni Paganucci","1827-1888","1","giovanni-paganucci","necesita imagen",""
"681","Giuseppe Aprea","1876-1946","1","giuseppe-aprea","necesita imagen",""
"682","Giuseppe Signorini","1857-1932","1","giuseppe-signorini","necesita imagen",""
"683","Grupo Toledo Chico","","1","grupo-toledo-chico","necesita imagen","grupo o autoria colectiva"
"684","Guido Daniel Reni [Atribuido a]","1574-1642","1","guido-daniel-reni-atribuido-a","necesita imagen",""
"685","Guillermo Andrada","1926-1994","1","guillermo-andrada","necesita imagen",""
"686","Guillermo Eduardo Clulow","1908-1983","1","guillermo-eduardo-clulow","necesita imagen",""
"687","Guillermo José Brasini","1948-","1","guillermo-jose-brasini","necesita imagen",""
"688","Guillermo Olguín","1969-","1","guillermo-olguin","necesita imagen",""
"689","Gustavo Tabares","1968-","1","gustavo-tabares","necesita imagen",""
"690","Guy Colombo","1937-1995","1","guy-colombo","necesita imagen",""
"691","Gyula Kosice","1924-2016","1","gyula-kosice","necesita imagen",""
"692","H. de Toulouse Lautrec","1864-1901","1","h-de-toulouse-lautrec","necesita imagen",""
"693","H.P. Zimmer","1936-1992","1","h-p-zimmer","necesita imagen",""
"694","Hans (Jean) Arp","1887-1966","1","hans-jean-arp","necesita imagen",""
"695","Haude Sonia Gobbi","1928-","1","haude-sonia-gobbi","necesita imagen",""
"696","Heber Riguetti Ramos","1948-2016","1","heber-riguetti-ramos","necesita imagen",""
"697","Héctor Hanoteau","1823-1890","1","hector-hanoteau","necesita imagen",""
"698","Héctor Yuyo Goitiño","1935-2016","1","hector-yuyo-goitino","necesita imagen",""
"699","Helen Escobedo","1934-","1","helen-escobedo","necesita imagen",""
"700","Helga Krebs","1928-2010","1","helga-krebs","necesita imagen",""
"701","Henry de Warroquier","1881-1970","1","henry-de-warroquier","necesita imagen",""
"702","Henry Lefort","1846-1912","1","henry-lefort","necesita imagen",""
"703","Hermann Meissner","1914-","1","hermann-meissner","necesita imagen",""
"704","Hermenegildo Anglada Camarasa","1871-1959","1","hermenegildo-anglada-camarasa","necesita imagen",""
"705","Hermine David","1886-1970","1","hermine-david","necesita imagen",""
"706","Hilda E. S. de O'Donoghue","1886-1970","1","hilda-e-s-de-o-donoghue","necesita imagen",""
"707","Honoré Bérard","1845-","1","honore-berard","necesita imagen",""
