priority,name,lifeDates,artworkCount,slug,status,note
"81","Ruisdael Suárez","1929-2004","10","ruisdael-suarez","necesita imagen",""
"82","Teresa Vila","1931-2009","10","teresa-vila","necesita imagen",""
"83","Zoma Baitler","1908-1994","10","zoma-baitler","necesita imagen",""
"84","Edgardo Ribeiro","1921-2006","9","edgardo-ribeiro","necesita imagen",""
"85","Eduardo Amézaga","1911-1977","9","eduardo-amezaga","necesita imagen",""
"86","Federico Moller De Berg","1900-1991","9","federico-moller-de-berg","necesita imagen",""
"87","Heber Ramos Paz","1924-","9","heber-ramos-paz","necesita imagen",""
"88","José Felipe Parra","1826-1890","9","jose-felipe-parra","necesita imagen",""
"89","Juan Ventayol","1915-1971","9","juan-ventayol","necesita imagen",""
"90","Lincoln Presno","1917-1991","9","lincoln-presno","necesita imagen",""
"91","Manuel Pailós","1918-2004","9","manuel-pailos","necesita imagen",""
"92","Máximo Sturla","1883-1909","9","maximo-sturla","necesita imagen",""
"93","Milo Beretta","1875-1935","9","milo-beretta","necesita imagen",""
"94","Niewenhuis Constant","1920-2005","9","niewenhuis-constant","necesita imagen",""
"95","Pablo Serrano","1910-1985","9","pablo-serrano","necesita imagen",""
"96","Raúl Cattelani","1927-2015","9","raul-cattelani","necesita imagen",""
"97","Raúl Pavlotzky","1918-1998","9","raul-pavlotzky","necesita imagen",""
"98","Sara Traversa","1912-1999","9","sara-traversa","necesita imagen",""
"99","Agustín Alamán","1921-1995","8","agustin-alaman","necesita imagen",""
"100","Alberto Dura","1888-1971","8","alberto-dura","necesita imagen",""
"101","Alejandro Turell Lorenzo","1975-","8","alejandro-turell-lorenzo","necesita imagen",""
"102","Américo Spósito","1924-2005","8","americo-sposito","necesita imagen",""
"103","Enrique Medina Ramela","1935-","8","enrique-medina-ramela","necesita imagen",""
"104","Francisco Matto","1911-1995","8","francisco-matto","necesita imagen",""
"105","Gilberto Bellini","1908-1935","8","gilberto-bellini","necesita imagen",""
"106","Heber Rolandi Scelza","1936-","8","heber-rolandi-scelza","necesita imagen",""
"107","Juan José Calandria","1902-1980","8","juan-jose-calandria","necesita imagen",""
"108","Rubens Fernández Tudurí","1920-1993","8","rubens-fernandez-tuduri","necesita imagen",""
"109","Wifredo Díaz Valdéz","1932-2025","8","wifredo-diaz-valdez","necesita imagen",""
"110","Alceu Ribeiro","1919-2013","7","alceu-ribeiro","necesita imagen",""
"111","Carlos Lombardo","1924-1972","7","carlos-lombardo","necesita imagen",""
"112","Carlos R. Rúfalo","1880-1975","7","carlos-r-rufalo","necesita imagen",""
"113","Emilio Vedova","","7","emilio-vedova","necesita imagen",""
"114","Francisco E. Bauzer","1887-1945","7","francisco-e-bauzer","necesita imagen",""
"115","Humberto Tabaré Tomeo","1933-1996","7","humberto-tabare-tomeo","necesita imagen",""
"116","José Belloni","1882-1965","7","jose-belloni","necesita imagen",""
"117","José Lanzaro","1920-2004","7","jose-lanzaro","necesita imagen",""
"118","Luis A. Fayol","1904-1965","7","luis-a-fayol","necesita imagen",""
"119","Manuel Correa","1864-1910","7","manuel-correa","necesita imagen",""
"120","María Rosa De Ferrari","1899-1982","7","maria-rosa-de-ferrari","necesita imagen",""
"121","Mariano Barbasán Lagueruela","1864-1924","7","mariano-barbasan-lagueruela","necesita imagen",""
"122","Rafael Borella","1874-1953","7","rafael-borella","necesita imagen",""
"123","Salustiano Pintos","1905-1975","7","salustiano-pintos","necesita imagen",""
"124","Víctor L. Rebufo","1903-1983","7","victor-l-rebufo","necesita imagen",""
"125","Adolfo Halty","1915-1974","6","adolfo-halty","necesita imagen",""
"126","Alfredo Eugenio Berta","1895-1974","6","alfredo-eugenio-berta","necesita imagen",""
"127","André Beaudin","1895-1979","6","andre-beaudin","necesita imagen",""
"128","Andrés Feldmann","1921-1978","6","andres-feldmann","necesita imagen",""
"129","Antonio Andivero","1934-2017","6","antonio-andivero","necesita imagen",""
"130","Armando Germinal González","1912-1981","6","armando-germinal-gonzalez","necesita imagen",""
"131","Carmelo Rivello","1901-1944","6","carmelo-rivello","necesita imagen",""
"132","Eduardo A. Larrarte","1914-2005","6","eduardo-a-larrarte","necesita imagen",""
"133","Gilles de La Tourette","","6","gilles-de-la-tourette","necesita imagen",""
"134","Gonzalo Fonseca","1922-1997","6","gonzalo-fonseca","necesita imagen",""
